epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,652.592,1.12063,1.02932,1.37281,0.77331,0.77323,0.81014,0.51801,1.32352,1.06972,1.70136,0.0011684,0.0011684,0.0011684
44,667.651,1.05627,0.99576,1.34974,0.80237,0.80889,0.86497,0.58222,1.17366,0.91754,1.56371,0.0011486,0.0011486,0.0011486
45,683.145,1.04492,0.98785,1.34052,0.81677,0.82667,0.88502,0.60145,1.20139,0.85672,1.55224,0.0011288,0.0011288,0.0011288
46,697.466,1.06679,0.99754,1.35666,0.86121,0.79556,0.87657,0.59187,1.14541,0.8739,1.51485,0.001109,0.001109,0.001109
47,711.688,1.02118,0.96749,1.30631,0.86604,0.81333,0.88456,0.60778,1.18613,0.88298,1.53843,0.0010892,0.0010892,0.0010892
48,726.672,1.0417,0.97227,1.32745,0.85061,0.78667,0.86855,0.59193,1.18737,0.89298,1.53415,0.0010694,0.0010694,0.0010694
49,740.728,1.05167,0.95899,1.33927,0.86842,0.76,0.85649,0.59297,1.16874,0.89145,1.53128,0.0010496,0.0010496,0.0010496
50,754.825,1.05301,0.97727,1.34988,0.82651,0.78222,0.87837,0.59399,1.16695,0.87773,1.56137,0.0010298,0.0010298,0.0010298
51,769.024,0.9988,0.93905,1.29896,0.85883,0.81115,0.86493,0.57968,1.15548,0.92267,1.54454,0.00101,0.00101,0.00101
52,783.291,1.01127,0.93307,1.31152,0.83454,0.81778,0.87331,0.5993,1.14113,0.8337,1.54121,0.0009902,0.0009902,0.0009902
53,797.625,0.98862,0.93617,1.29393,0.81543,0.81333,0.86234,0.59898,1.15519,0.88123,1.584,0.0009704,0.0009704,0.0009704
54,812.256,0.98856,0.89444,1.29805,0.89136,0.8,0.88423,0.60832,1.15302,0.83789,1.54343,0.0009506,0.0009506,0.0009506
55,826.832,0.98564,0.88929,1.3008,0.83998,0.79323,0.8667,0.61152,1.0742,0.86824,1.46001,0.0009308,0.0009308,0.0009308
56,841.44,1.00368,0.9318,1.30302,0.78382,0.85407,0.86472,0.58466,1.16574,0.89187,1.59019,0.000911,0.000911,0.000911
57,855.764,0.99667,0.90811,1.29023,0.81777,0.83769,0.88178,0.60397,1.14969,0.81421,1.53361,0.0008912,0.0008912,0.0008912
58,869.735,0.99395,0.90447,1.28909,0.87042,0.82667,0.89037,0.61226,1.09136,0.82887,1.50513,0.0008714,0.0008714,0.0008714
59,884.399,0.99029,0.89436,1.29238,0.86726,0.78667,0.87132,0.61459,1.10549,0.83036,1.48833,0.0008516,0.0008516,0.0008516
60,900.45,0.93013,0.86554,1.27202,0.83905,0.81093,0.88631,0.62279,1.08596,0.86138,1.46677,0.0008318,0.0008318,0.0008318
61,915.354,0.96028,0.89046,1.28352,0.83262,0.80444,0.86515,0.61782,1.1023,0.83092,1.49798,0.000812,0.000812,0.000812
62,929.537,0.92765,0.85566,1.25082,0.90636,0.78667,0.86662,0.6096,1.14068,0.891,1.55285,0.0007922,0.0007922,0.0007922
63,943.481,0.94588,0.88981,1.28489,0.83454,0.8,0.86089,0.59794,1.16236,0.89159,1.55229,0.0007724,0.0007724,0.0007724
64,957.556,0.96439,0.88513,1.27846,0.90325,0.74689,0.86205,0.59076,1.1588,0.84652,1.53769,0.0007526,0.0007526,0.0007526
65,971.364,0.91976,0.81733,1.24204,0.83228,0.81602,0.87221,0.61507,1.14255,0.88022,1.56518,0.0007328,0.0007328,0.0007328
66,985.921,0.93911,0.82935,1.27334,0.83431,0.80567,0.8702,0.59373,1.14839,0.83013,1.50161,0.000713,0.000713,0.000713
67,1000.18,0.907,0.83405,1.26556,0.80827,0.82667,0.874,0.61811,1.10187,0.80687,1.52287,0.0006932,0.0006932,0.0006932
68,1014.26,0.89698,0.8158,1.24341,0.89958,0.75556,0.87504,0.6277,1.09489,0.79503,1.49589,0.0006734,0.0006734,0.0006734
69,1029.32,0.93136,0.82578,1.25942,0.90822,0.75111,0.88347,0.62462,1.08212,0.7797,1.48009,0.0006536,0.0006536,0.0006536
70,1043.11,0.90892,0.81463,1.24794,0.88714,0.77333,0.87644,0.62985,1.06419,0.77873,1.4664,0.0006338,0.0006338,0.0006338
71,1057.96,0.8865,0.78893,1.24111,0.862,0.82222,0.88336,0.63839,1.0948,0.81487,1.46808,0.000614,0.000614,0.000614
72,1072.65,0.87461,0.79114,1.23253,0.84057,0.85778,0.89187,0.62514,1.09783,0.80529,1.47918,0.0005942,0.0005942,0.0005942
73,1086.87,0.86618,0.79529,1.21724,0.86126,0.80008,0.867,0.60541,1.10445,0.84108,1.52965,0.0005744,0.0005744,0.0005744
74,1100.78,0.88427,0.80168,1.23587,0.86184,0.81333,0.87522,0.61287,1.14152,0.81111,1.52179,0.0005546,0.0005546,0.0005546
75,1114.77,0.8502,0.74943,1.20823,0.89381,0.78562,0.87757,0.6284,1.07483,0.80289,1.48745,0.0005348,0.0005348,0.0005348
