epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10451.7,0.70375,0.75323,1.22945,0.86135,0.81817,0.88657,0.63367,1.07813,0.90213,1.2526,0.007921,0.007921,0.007921
44,10702.8,0.70525,0.74584,1.22889,0.86329,0.81974,0.88809,0.632,1.07232,0.89764,1.24653,0.0078715,0.0078715,0.0078715
45,10952.7,0.69898,0.73969,1.2267,0.87239,0.81548,0.88968,0.63726,1.06686,0.89849,1.24243,0.007822,0.007822,0.007822
46,11202.9,0.70004,0.73716,1.22293,0.86221,0.83439,0.89767,0.63657,1.07447,0.8941,1.24968,0.0077725,0.0077725,0.0077725
47,11479.6,0.69763,0.73763,1.22408,0.89146,0.8124,0.89719,0.63707,1.07278,0.89421,1.24885,0.007723,0.007723,0.007723
48,11736.9,0.69557,0.73332,1.22121,0.88944,0.81727,0.89768,0.6403,1.07758,0.89391,1.25199,0.0076735,0.0076735,0.0076735
49,11958.4,0.69416,0.72817,1.22067,0.89296,0.81528,0.89858,0.63935,1.07734,0.89417,1.25266,0.007624,0.007624,0.007624
50,12187.6,0.6881,0.72476,1.21775,0.89652,0.81926,0.89934,0.64076,1.0749,0.89371,1.25201,0.0075745,0.0075745,0.0075745
51,12439.4,0.68931,0.72621,1.21571,0.89184,0.82096,0.89888,0.63949,1.07409,0.89183,1.25075,0.007525,0.007525,0.007525
52,12691.4,0.68668,0.71963,1.21644,0.88562,0.81971,0.89842,0.63902,1.0723,0.8927,1.25006,0.0074755,0.0074755,0.0074755
53,12943.6,0.68699,0.7194,1.21412,0.88971,0.81265,0.8987,0.64105,1.07022,0.88672,1.24931,0.007426,0.007426,0.007426
54,13193.8,0.68459,0.7217,1.21382,0.87792,0.82997,0.89912,0.64023,1.07312,0.88207,1.25272,0.0073765,0.0073765,0.0073765
55,13444.6,0.68623,0.7133,1.21184,0.87933,0.82897,0.89912,0.63995,1.07197,0.87462,1.25078,0.007327,0.007327,0.007327
56,13686.5,0.68518,0.71542,1.21333,0.87602,0.82559,0.89948,0.64016,1.07179,0.87465,1.25181,0.0072775,0.0072775,0.0072775
